exit_time,equity
2025-05-01 04:15:00+00:00,9900.0
2025-05-01 04:45:00+00:00,9801.0
2025-05-05 06:05:00+00:00,9702.99
2025-05-12 01:50:00+00:00,9605.9601
2025-05-12 02:25:00+00:00,9798.079302
2025-05-12 05:00:00+00:00,9994.040888040001
2025-05-12 08:40:00+00:00,9894.1004791596
2025-05-12 09:00:00+00:00,10091.982488742793
2025-05-14 15:25:00+00:00,9991.062663855366
2025-05-15 06:10:00+00:00,9891.152037216812
2025-05-15 12:10:00+00:00,10088.97507796115
2025-05-15 13:10:00+00:00,10290.754579520373
2025-05-16 02:30:00+00:00,10187.84703372517
2025-05-20 17:40:00+00:00,10085.968563387918
2025-05-20 20:35:00+00:00,9985.108877754039
2025-05-22 17:05:00+00:00,9885.257788976498
2025-05-28 23:50:00+00:00,9786.405211086732
2025-05-29 02:35:00+00:00,9688.541158975864
2025-05-29 04:05:00+00:00,9591.655747386105
2025-05-29 06:45:00+00:00,9783.488862333827
2025-05-29 07:35:00+00:00,9685.653973710489
2025-05-29 07:50:00+00:00,9588.797433973383
2025-05-29 08:10:00+00:00,9492.909459633649
2025-05-29 09:10:00+00:00,9397.980365037312
2025-05-29 10:15:00+00:00,9585.93997233806
2025-06-13 04:45:00+00:00,9777.65877178482
2025-06-17 06:25:00+00:00,9679.882184066972
2025-06-17 13:05:00+00:00,9873.479827748311
2025-06-18 07:40:00+00:00,10070.949424303277
2025-06-19 01:00:00+00:00,10272.368412789343
2025-06-19 10:15:00+00:00,10169.64472866145
2025-06-19 10:40:00+00:00,10373.037623234679
2025-06-20 09:30:00+00:00,10269.307247002333
2025-06-20 09:45:00+00:00,10166.61417453231
2025-06-20 12:25:00+00:00,10369.946458022956
2025-06-20 16:30:00+00:00,10577.345387183415
2025-06-24 03:45:00+00:00,10788.892294927084
2025-06-24 06:35:00+00:00,11004.670140825625
2025-06-26 03:05:00+00:00,11224.763543642137
2025-06-26 06:05:00+00:00,11112.515908205716
2025-06-26 10:05:00+00:00,11001.390749123659
2025-06-26 10:45:00+00:00,10891.376841632422
2025-06-26 11:15:00+00:00,10782.463073216099
2025-06-26 11:40:00+00:00,10674.638442483938
2025-06-26 12:10:00+00:00,10888.131211333617
2025-06-26 15:55:00+00:00,11105.89383556029
2025-07-01 12:25:00+00:00,10994.834897204686
2025-07-03 15:40:00+00:00,10884.88654823264
2025-07-03 16:25:00+00:00,11102.584279197294
2025-07-04 10:40:00+00:00,11324.635964781239
2025-07-07 03:45:00+00:00,11551.128684076864
2025-07-07 05:30:00+00:00,11435.617397236096
2025-07-07 18:05:00+00:00,11321.261223263735
2025-07-07 18:15:00+00:00,11208.048611031098
2025-07-07 19:20:00+00:00,11432.209583251719
2025-07-09 05:50:00+00:00,11317.887487419202
2025-07-09 13:35:00+00:00,11544.245237167586
2025-07-09 15:05:00+00:00,11775.130141910939
2025-07-10 03:40:00+00:00,11657.378840491829
2025-07-10 04:05:00+00:00,11540.805052086911
2025-07-10 05:20:00+00:00,11425.397001566042
2025-07-10 06:15:00+00:00,11653.904941597362
2025-07-10 07:45:00+00:00,11537.36589218139
2025-07-10 08:25:00+00:00,11768.113210025018
2025-07-10 11:35:00+00:00,11650.432077924768
2025-07-10 15:20:00+00:00,11533.92775714552
2025-07-10 16:45:00+00:00,11764.606312288432
2025-07-10 21:55:00+00:00,11646.960249165548
2025-07-17 15:35:00+00:00,11530.490646673892
2025-07-17 16:10:00+00:00,11415.185740207153
2025-07-17 17:30:00+00:00,11643.489455011295
2025-07-28 16:45:00+00:00,11527.054560461182
2025-07-29 11:05:00+00:00,11757.595651670405
2025-07-30 17:15:00+00:00,11640.0196951537
2025-07-30 17:45:00+00:00,11872.820089056773
2025-07-30 21:00:00+00:00,11754.091888166206
2025-07-30 21:15:00+00:00,11636.550969284543
2025-07-30 22:15:00+00:00,11520.185459591698
2025-07-30 22:30:00+00:00,11404.983604995781
2025-07-31 04:05:00+00:00,11633.083277095697
2025-08-01 16:05:00+00:00,11516.75244432474
2025-08-01 16:50:00+00:00,11747.087493211235
2025-08-01 17:20:00+00:00,11629.616618279122
2025-08-01 22:30:00+00:00,11513.320452096332
2025-08-12 14:25:00+00:00,11398.187247575368
2025-08-12 15:40:00+00:00,11626.150992526875
2025-08-12 18:10:00+00:00,11858.674012377413
2025-08-13 10:35:00+00:00,11740.087272253639
2025-08-13 12:30:00+00:00,11622.686399531103
2025-08-13 13:00:00+00:00,11506.459535535792
2025-08-13 13:35:00+00:00,11391.394940180435
2025-08-13 13:50:00+00:00,11277.480990778631
2025-08-13 17:00:00+00:00,11164.706180870844
2025-08-13 18:30:00+00:00,11388.000304488261
2025-08-13 20:30:00+00:00,11615.760310578027
2025-08-14 04:20:00+00:00,11848.075516789588
2025-08-22 17:30:00+00:00,11729.594761621693
2025-08-29 16:55:00+00:00,11964.186656854126
2025-09-30 06:40:00+00:00,12203.47038999121
