signal_time,entry_time,exit_time,direction,entry,stop,target,risk_price,risk_money,units,result,R,gross_pnl,net_pnl,reason,balance_after,equity
2025-04-16 01:40:00+00:00,2025-05-01 04:05:00+00:00,2025-05-01 04:15:00+00:00,SHORT,3236.47,3245.69,3218.0299999999993,9.220000000000255,100.0,10.845986984815319,LOSS,-1.0,-100.0,-100.0,Above PDH -> green -> red reversal -> break red low,9900.0,9900.0
2025-05-01 04:20:00+00:00,2025-05-01 04:25:00+00:00,2025-05-01 04:45:00+00:00,LONG,3246.39,3239.0,3261.1699999999996,7.389999999999873,99.0,13.396481732070596,LOSS,-1.0,-99.0,-99.0,Below PDL -> green reversal -> break green high,9801.0,9801.0
2025-05-05 05:50:00+00:00,2025-05-05 06:00:00+00:00,2025-05-05 06:05:00+00:00,SHORT,3268.55,3271.01,3263.63,2.4600000000000364,98.01,39.84146341463356,LOSS,-1.0,-98.01,-98.01,Above PDH -> green -> red reversal -> break red low,9702.99,9702.99
2025-05-05 11:30:00+00:00,2025-05-12 01:45:00+00:00,2025-05-12 01:50:00+00:00,SHORT,3270.04,3273.48,3263.16,3.4400000000000546,97.0299,28.206366279069318,LOSS,-1.0,-97.0299,-97.0299,Above PDH -> green -> red reversal -> break red low,9605.9601,9605.9601
2025-05-12 02:05:00+00:00,2025-05-12 02:10:00+00:00,2025-05-12 02:25:00+00:00,LONG,3272.41,3266.16,3284.91,6.25,96.059601,15.369536160000001,WIN,2.0,192.119202,192.119202,Below PDL -> green reversal -> break green high,9798.079302,9798.079302
2025-05-12 04:15:00+00:00,2025-05-12 04:20:00+00:00,2025-05-12 05:00:00+00:00,LONG,3265.83,3260.12,3277.25,5.710000000000036,97.98079302000001,17.15950840980725,WIN,2.0,195.96158604000001,195.96158604000001,Below PDL -> green reversal -> break green high,9994.040888040001,9994.040888040001
2025-05-12 05:40:00+00:00,2025-05-12 05:45:00+00:00,2025-05-12 08:40:00+00:00,LONG,3275.34,3269.52,3286.9800000000005,5.820000000000164,99.94040888040001,17.171891560205705,LOSS,-1.0,-99.94040888040001,-99.94040888040001,Below PDL -> green reversal -> break green high,9894.1004791596,9894.1004791596
2025-05-12 08:45:00+00:00,2025-05-12 08:50:00+00:00,2025-05-12 09:00:00+00:00,LONG,3272.22,3268.54,3279.5799999999995,3.6799999999998363,98.94100479159601,26.886142606413156,WIN,2.0,197.88200958319203,197.88200958319203,Below PDL -> green reversal -> break green high,10091.982488742793,10091.982488742793
2025-05-14 15:15:00+00:00,2025-05-14 15:20:00+00:00,2025-05-14 15:25:00+00:00,LONG,3215.25,3212.7,3220.3500000000004,2.550000000000182,100.91982488742794,39.57640191663558,LOSS,-1.0,-100.91982488742794,-100.91982488742794,Below PDL -> green reversal -> break green high,9991.062663855366,9991.062663855366
2025-05-15 05:50:00+00:00,2025-05-15 05:55:00+00:00,2025-05-15 06:10:00+00:00,LONG,3155.42,3150.87,3164.5200000000004,4.550000000000182,99.91062663855367,21.958379480999927,LOSS,-1.0,-99.91062663855367,-99.91062663855367,Below PDL -> green reversal -> break green high,9891.152037216812,9891.152037216812
2025-05-15 06:05:00+00:00,2025-05-15 11:40:00+00:00,2025-05-15 12:10:00+00:00,LONG,3157.01,3152.84,3165.3500000000004,4.170000000000073,98.91152037216813,23.719789058073477,WIN,2.0,197.82304074433625,197.82304074433625,Below PDL -> green reversal -> break green high,10088.97507796115,10088.97507796115
2025-05-15 13:00:00+00:00,2025-05-15 13:05:00+00:00,2025-05-15 13:10:00+00:00,LONG,3168.05,3164.58,3174.9900000000007,3.4700000000002547,100.8897507796115,29.074856132450748,WIN,2.0,201.779501559223,201.779501559223,Below PDL -> green reversal -> break green high,10290.754579520373,10290.754579520373
2025-05-16 02:15:00+00:00,2025-05-16 02:20:00+00:00,2025-05-16 02:30:00+00:00,SHORT,3243.13,3246.57,3236.25,3.4400000000000546,102.90754579520373,29.91498424279131,LOSS,-1.0,-102.90754579520373,-102.90754579520373,Above PDH -> green -> red reversal -> break red low,10187.84703372517,10187.84703372517
2025-05-20 17:25:00+00:00,2025-05-20 17:30:00+00:00,2025-05-20 17:40:00+00:00,SHORT,3279.04,3285.04,3267.04,6.0,101.8784703372517,16.979745056208618,LOSS,-1.0,-101.8784703372517,-101.8784703372517,Above PDH -> green -> red reversal -> break red low,10085.968563387918,10085.968563387918
2025-05-20 17:55:00+00:00,2025-05-20 18:00:00+00:00,2025-05-20 20:35:00+00:00,SHORT,3281.27,3285.23,3273.35,3.9600000000000364,100.85968563387918,25.46961758431269,LOSS,-1.0,-100.85968563387918,-100.85968563387918,Above PDH -> green -> red reversal -> break red low,9985.108877754039,9985.108877754039
2025-05-20 20:25:00+00:00,2025-05-22 17:00:00+00:00,2025-05-22 17:05:00+00:00,SHORT,3280.33,3285.18,3270.63,4.849999999999909,99.8510887775404,20.587853356194284,LOSS,-1.0,-99.8510887775404,-99.8510887775404,Above PDH -> green -> red reversal -> break red low,9885.257788976498,9885.257788976498
2025-05-27 09:55:00+00:00,2025-05-27 10:10:00+00:00,2025-05-28 23:50:00+00:00,LONG,3309.87,3281.49,3366.63,28.38000000000011,98.85257788976499,3.4831775154955817,LOSS,-1.0,-98.85257788976499,-98.85257788976499,Below PDL -> green reversal -> break green high,9786.405211086732,9786.405211086732
2025-05-29 02:25:00+00:00,2025-05-29 02:30:00+00:00,2025-05-29 02:35:00+00:00,LONG,3266.2,3261.34,3275.919999999999,4.859999999999673,97.86405211086732,20.13663623680533,LOSS,-1.0,-97.86405211086732,-97.86405211086732,Below PDL -> green reversal -> break green high,9688.541158975864,9688.541158975864
2025-05-29 02:45:00+00:00,2025-05-29 02:50:00+00:00,2025-05-29 04:05:00+00:00,LONG,3259.61,3250.33,3278.1700000000005,9.2800000000002,96.88541158975865,10.440238317861699,LOSS,-1.0,-96.88541158975865,-96.88541158975865,Below PDL -> green reversal -> break green high,9591.655747386105,9591.655747386105
2025-05-29 03:50:00+00:00,2025-05-29 05:40:00+00:00,2025-05-29 06:45:00+00:00,LONG,3269.05,3263.7,3279.750000000001,5.350000000000364,95.91655747386105,17.92832849978589,WIN,2.0,191.8331149477221,191.8331149477221,Below PDL -> green reversal -> break green high,9783.488862333827,9783.488862333827
2025-05-29 07:10:00+00:00,2025-05-29 07:15:00+00:00,2025-05-29 07:35:00+00:00,LONG,3274.51,3272.34,3278.8500000000004,2.1700000000000728,97.83488862333827,45.08520213056912,LOSS,-1.0,-97.83488862333827,-97.83488862333827,Below PDL -> green reversal -> break green high,9685.653973710489,9685.653973710489
